"url","Question description","Answers descriptions","Explanation content","Explanation link","Explanation link_link"
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Is it equally bad for a man and woman to cheat on a partner?","Yes; No, it is worse if a man cheats.; No, it is worse if a woman cheats.; I have no problem with cheating either way.","I would rather be mutually honest with my wife in the matter.",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Are nudity and pornography the same thing?","Yes.; No.","nudity is the person being naked; pornography is the IMAGE OR VIDEO content of naked people. You would be an idiot for thinking the two to be the same.",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Would you sabotage contraceptives to have kids even though your mate doesn't want kids?","Yes; No; I'm Not Sure","That is dishonest!",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Do you think partial birth abortion should be banned?","Yes, absolutely; No, absolutely not; I’m Not Sure; I’m conflicted/I don’t know enough to say.","Partial Birth? What, the head isn't enough, you want the child to be a quadriplegic?",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Does it bother you when people TyP3 LiK3 ThIS oN pUrPoSe? (Be honest.)","Yes; No","It's a good play on words, but too much of it would be annoying.",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Would you ever film a sexual encounter without your partner knowing?","Yes; No; I’m Not Sure","I would rather have her consent first.",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Manners are:","Important; Not very important; I fart on this question","But not mandatory under some circumstances.",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","While walking down the street, you see an amazingly attractive member of the gender of your preference. He/she is completely naked and floating three feet in the air. Which do you find more intriguing?","The fact that he/she is naked; The fact that he/she is defying gravity","What the hell?",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","When would you prefer to settle a disagreement?","Now.; Later.; Never.","I would have to think it over first.",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Is it's better to have an open-relationship because there'll be cheating in monogamous relationships anyways.",,"True False; I do not believe it as an inevitable, but I do feel an open relationship is healthy for the happiness of my woman partner, especially if she feels need to take a break from me for a while, or if I am unable to please her at the time. As long as we were mutually honest with each other. I would still be loyal and supportive to her.",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Should sex education be given to children under 15?","Yes; No; I’m Not Sure","With DATING EDUCATION!!!!!!!!!!!!","DATING EDUCATION","http://www.sonichu.com/cwcki/Dating_Education"
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","If you were otherwise willing to enter into a marriage or life-long partnership, would you consider signing a prenuptial or equivalent agreement at the request of your partner?","Yes.; No.","I would want to read it first.",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","If you had an eighteen year old son or daughter who wanted to become an adult film star, how would you react?","I would encourage him or her; I would discourage him or her.; I would encourage my son, but not my daughter.; I would encourage my daughter, but not my son.","But if that's what they feel of real want or need, I will support them.",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Should it be socially acceptable for women have the choice/right to be topless in any area where it is ok for men to be topless?","Yes; No","I sincerely wish it was not acceptable for Men to be topless in the first place. UGH!!!",,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Gay marriage—should it be legal?","Yes; No",,,
"http://www.sonichu.com/cwcki/List_of_OkCupid_Answers","Do you expect your partner to back you up in a dispute if you're in the wrong?","Yes; No","That would be up to my her.",,
